Unix Timestamp	Date	Symbol	Open	High	Low	Close	Volume
1.60E+12	10/22/2020 1:28	BTCUSD	12912.39	12920.94	12910.84	12910.84	0.12170519
1.60E+12	10/22/2020 1:27	BTCUSD	12907.09	12912.39	12907.09	12912.39	3.18522094
1.60E+12	10/22/2020 1:26	BTCUSD	12919.44	12919.44	12907.09	12907.09	1.03402523
1.60E+12	10/22/2020 1:25	BTCUSD	12920.26	12920.58	12908.94	12919.44	0.44793455
1.60E+12	10/22/2020 1:24	BTCUSD	12909.19	12922.95	12909.19	12920.26	0.037245324
1.60E+12	10/22/2020 1:23	BTCUSD	12916.24	12918.51	12909.19	12909.19	0.514532151
1.60E+12	10/22/2020 1:22	BTCUSD	12927.75	12927.75	12916.24	12916.24	0.00898791
1.60E+12	10/22/2020 1:21	BTCUSD	12910.11	12927.75	12910.11	12927.75	1.14971173
1.60E+12	10/22/2020 1:20	BTCUSD	12899	12916.19	12899	12910.11	1.79133008
1.60E+12	10/22/2020 1:19	BTCUSD	12892.66	12899	12892.66	12899	0.04400142
1.60E+12	10/22/2020 1:18	BTCUSD	12887.11	12892.66	12887.02	12892.66	0.55291732
1.60E+12	10/22/2020 1:17	BTCUSD	12884.33	12887.11	12884.33	12887.11	0.15804863
1.60E+12	10/22/2020 1:16	BTCUSD	12890.92	12890.92	12880.4	12884.33	0.06896593
1.60E+12	10/22/2020 1:15	BTCUSD	12894.58	12894.6	12889.55	12890.92	0.25584226
1.60E+12	10/22/2020 1:14	BTCUSD	12893.95	12894.6	12893.95	12894.58	0.10934135
1.60E+12	10/22/2020 1:13	BTCUSD	12886.74	12893.95	12886.74	12893.95	0.00192045
1.60E+12	10/22/2020 1:12	BTCUSD	12886.12	12890.96	12885.97	12886.74	0.31271415
1.60E+12	10/22/2020 1:11	BTCUSD	12886.12	12886.12	12886.12	12886.12	0
1.60E+12	10/22/2020 1:10	BTCUSD	12892.85	12892.85	12886.12	12886.12	1.00E-05
1.60E+12	10/22/2020 1:09	BTCUSD	12891.42	12896.94	12889.37	12892.85	0.33094735
1.60E+12	10/22/2020 1:08	BTCUSD	12895.11	12898.79	12885.4	12891.42	0.46342216
